Position,Artist,Song Title,Year,JSON file,Split Names,Song Language
44,Jermaine Jackson,Daddy's Home,1973,1923.json,Jermaine Jackson,en
45,Gladys Knight and The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),1973,1924.json,Gladys Knight,en
46,New York City,I'm Doing Fine Now,1973,1925.json,New York City,en
47,Spinners,Could It Be I'm Falling In Love,1973,1926.json,Spinners,en
48,Elton John,Daniel,1973,1927.json,Elton John,en
49,Gladys Knight and The Pips,Midnight Train To Georgia,1973,1928.json,Gladys Knight,en
50,Deep Purple,Smoke On The Water,1973,1929.json,Deep Purple,en
51,Dr. Hook and The Medicine Show,The Cover Of Rolling Stone,1973,1930.json,Dr. Hook,en
52,Charlie Rich,Behind Closed Doors,1973,1931.json,Charlie Rich,en
53,Loggins and Messina,Your Mama Don't Dance,1973,1932.json,Loggins,en
54,Chicago,Feelin' Stronger Every Day,1973,1933.json,Chicago,en
55,War,The Cisco Kid,1973,1934.json,War,en
56,Wings,Live And Let Die,1973,1935.json,Wings,en
57,Hurricane Smith,"Oh, Babe, What Would You Say?",1973,1936.json,Hurricane Smith,en
58,Johnnie Taylor,I Believe In You,1973,1937.json,Johnnie Taylor,en
60,Four Tops,Ain't No Woman (Like The One I Got),1973,1939.json,Four Tops,en
62,Stevie Wonder,Higher Ground,1973,1941.json,Stevie Wonder,en
63,Al Green,Here I Am (Come And Take Me),1973,1942.json,Al Green,en
64,B.W. Stevenson,My Maria,1973,1943.json,B.W. Stevenson,en
65,Curtis Mayfield,Superfly,1973,1944.json,Curtis Mayfield,en
66,Gilbert O'Sullivan,Get Down,1973,1945.json,Gilbert O'Sullivan,en
67,Edward Bear,Last Song,1973,1946.json,Edward Bear,en
68,Steely Dan,Reelin' In The Years,1973,1947.json,Steely Dan,en
70,Carpenters,Yesterday Once More,1973,1949.json,Carpenters,en
71,Bette Midler,Boogie Woogie Bugle Boy,1973,1950.json,Bette Midler,en
72,Gilbert O'Sullivan,Clair,1973,1951.json,Gilbert O'Sullivan,en
73,Steely Dan,Do It Again,1973,1952.json,Steely Dan,en
74,Paul Simon,Kodachrome,1973,1953.json,Paul Simon,en
75,Timmy Thomas,Why Can't We Live Together,1973,1954.json,Timmy Thomas,en
76,Tower Of Power,So Very Hard To Go,1973,1955.json,Tower Of Power,en
77,Bette Midler,Do You Want To Dance?,1973,1956.json,Bette Midler,en
78,Johnny Rivers,Rockin' Pneumonia And The Boogie Woogie Flu,1973,1957.json,Johnny Rivers,en
79,Allman Brothers,Ramblin' Man,1973,1958.json,Allman Brothers,en
80,Temptations,Masterpiece,1973,1959.json,Temptations,en
81,Helen Reddy,Peaceful,1973,1960.json,Helen Reddy,en
82,Spinners,One Of A Kind (Love Affair),1973,1961.json,Spinners,en
83,Donna Fargo,Funny Face,1973,1962.json,Donna Fargo,en
84,Ohio Players,Funky Worm,1973,1963.json,Ohio Players,en
85,Rolling Stones,Angie,1973,1964.json,Rolling Stones,en
87,Lobo,Don't Expect Me To Be Your Friend,1973,1966.json,Lobo,en
88,Stylistics,Break Up To Make Up,1973,1967.json,Stylistics,en
89,Jud Strunk,Daisy A Day,1973,1968.json,Jud Strunk,en
90,Deodato,Also Sprach Zarathustra (2001),1973,1969.json,Deodato,en
91,Johnny Nash,Stir It Up,1973,1970.json,Johnny Nash,en
92,Pink Floyd,Money,1973,1971.json,Pink Floyd,en
93,War,Gypsy Man,1973,1972.json,War,en
94,War,The World Is A Ghetto,1973,1973.json,War,en
95,Pointer Sisters,Yes We Can Can,1973,1974.json,Pointer Sisters,en
96,Edgar Winter Group,Free Ride,1973,1975.json,Edgar Winter Group,en
97,David Bowie,Space Oddity,1973,1976.json,David Bowie,en
98,Albert Hammond,It Never Rains In Southern California,1973,1977.json,Albert Hammond,en
99,Donny Osmond,The Twelfth Of Never,1973,1978.json,Donny Osmond,en
100,Temptations,Papa Was A Rolling Stone,1973,1979.json,Temptations,en
1,Barbra Streisand,The Way We Were,1974,1980.json,Barbra Streis,en
2,Terry Jacks,Seasons In The Sun,1974,1981.json,Terry Jacks,en
4,Redbone,Come And Get Your Love,1974,1983.json,Redbone,en
5,Jackson 5,Dancing Machine,1974,1984.json,Jackson 5,en
6,Grand Funk Railroad,The Loco-Motion,1974,1985.json,Gr,en
7,MFSB,TSOP,1974,1986.json,MFSB,en
8,Ray Stevens,The Streak,1974,1987.json,Ray Stevens,en
9,Elton John,Bennie And The Jets,1974,1988.json,Elton John,en
10,Mac Davis,One Hell Of A Woman,1974,1989.json,Mac Davis,en
11,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),1974,1990.json,Aretha Franklin,en
13,Maria Muldaur,Midnight At The Oasis,1974,1992.json,Maria Muldaur,en
14,Stylistics,You Make Me Feel Brand New,1974,1993.json,Stylistics,en
15,Al Wilson,Show And Tell,1974,1994.json,Al Wilson,en
16,Jim Stafford,Spiders And Snakes,1974,1995.json,Jim Stafford,en
17,David Essex,Rock On,1974,1996.json,David Essex,en
18,John Denver,Sunshine On My Shoulders,1974,1997.json,John Denver,en
19,Blue Magic,Sideshow,1974,1998.json,Blue Magic,en
20,Blue Swede,Hooked On A Feeling,1974,1999.json,Blue Swede,en
21,Bo Donaldson and The Heywoods,Billy Don't Be A Hero,1974,2000.json,Bo Donaldson,en
22,Paul McCartney and Wings,Band On The Run,1974,2001.json,Paul McCartney,en
23,Charlie Rich,The Most Beautiful Girl,1974,2002.json,Charlie Rich,en
24,Jim Croce,Time In A Bottle,1974,2003.json,Jim Croce,en
25,John Denver,Annie's Song,1974,2004.json,John Denver,en
26,Paul Anka,(You're) Having My Baby,1974,2005.json,Paul Anka,en
27,Olivia Newton-John,Let Me Be There,1974,2006.json,Olivia Newton-John,en
28,Gordon Lightfoot,Sundown,1974,2007.json,Gordon Lightfoot,en
29,Andy Kim,Rock Me Gently,1974,2008.json,Andy Kim,en
30,Eddie Kendricks,Boogie Down,1974,2009.json,Eddie Kendricks,en
31,Ringo Starr,You're Sixteen,1974,2010.json,Ringo Starr,en
32,Olivia Newton-John,If You Love Me (Let Me Know),1974,2011.json,Olivia Newton-John,en
33,Cher,Dark Lady,1974,2012.json,Cher,en
34,Gladys Knight and The Pips,Best Thing That Ever Happened To Me,1974,2013.json,Gladys Knight,en
35,Roberta Flack,Feel Like Makin' Love,1974,2014.json,Roberta Flack,en
36,Main Ingredient,Just Don't Want To Be Lonely,1974,2015.json,Main Ingredient,en
37,Billy Preston,Nothing From Nothing,1974,2016.json,Billy Preston,en
38,George McCrae,Rock Your Baby,1974,2017.json,George McCrae,en
39,Carpenters,Top Of The World,1974,2018.json,Carpenters,en
40,Steve Miller Band,The Joker,1974,2019.json,Steve Miller B,en
41,Gladys Knight and The Pips,I've Got To Use My Imagination,1974,2020.json,Gladys Knight,en
42,Three Dog Night,The Show Must Go On,1974,2021.json,Three Dog Night,en
43,Hues Corporation,Rock The Boat,1974,2022.json,Hues Corporation,en
44,Brownsville Station,Smokin' In The Boy's Room,1974,2023.json,Brownsville Station,en
45,Stevie Wonder,Living For The City,1974,2024.json,Stevie Wonder,en
46,Dionne Warwick and The Spinners,Then Came You,1974,2025.json,Dionne Warwick,en
47,Paper Lace,The Night Chicago Died,1974,2026.json,Paper Lace,en
49,ABBA,Waterloo,1974,2028.json,ABBA,en
50,Hollies,The Air That I Breathe,1974,2029.json,Hollies,en
51,Steely Dan,Rikki Don't Lose That Number,1974,2030.json,Steely Dan,en
52,Carly Simon,Mockingbird,1974,2031.json,Carly Simon,en
53,Joni Mitchell,Help Me,1974,2032.json,Joni Mitchell,en
54,Anne Murray,You Won't See Me,1974,2033.json,Anne Murray,en
56,Rufus,Tell Me Something Good,1974,2035.json,Rufus,en
57,Helen Reddy,You And Me Against The World,1974,2036.json,Helen Reddy,en
58,Righteous Brothers,Rock And Roll Heaven,1974,2037.json,Righteous Brothers,en
59,Kool and The Gang,Hollywood Swinging,1974,2038.json,Kool,en
60,William Devaughn,Be Thankful For What You Got,1974,2039.json,William Devaughn,en
61,Johnny Bristol,Hang On In There Baby,1974,2040.json,Johnny Bristol,en
63,Bachman-Turner Overdrive,Takin' Care Of Business,1974,2042.json,Bachman-Turner Overdrive,en
64,Golden Earring,Radar Love,1974,2043.json,Golden Earring,en
65,Dave Loggins,Please Come To Boston,1974,2044.json,Dave Loggins,en
66,Wet Willie,Keep On Smilin',1974,2045.json,Wet Willie,en
67,Bobby Womack,Lookin' For A Love,1974,2046.json,Bobby Womack,en
68,O'Jays,Put Your Hands Together,1974,2047.json,O'Jays,en
69,Gladys Knight and The Pips,On And On,1974,2048.json,Gladys Knight,en
70,Cat Stevens,Oh Very Young,1974,2049.json,Cat Stevens,en
71,Helen Reddy,Leave Me Alone (Ruby Red Dress),1974,2050.json,Helen Reddy,en
72,Chicago,(I've Been) Searchin' So Long,1974,2051.json,Chicago,en
73,Elton John,Goodbye Yellow Brick Road,1974,2052.json,Elton John,en
74,Ringo Starr,Oh My My,1974,2053.json,Ringo Starr,en
75,O'Jays,For The Love Of Money,1974,2054.json,O'Jays,en
76,Eric Clapton,I Shot The Sheriff,1974,2055.json,Eric Clapton,en
77,Paul McCartney and Wings,Jet,1974,2056.json,Paul McCartney,en
78,Elton John,Don't Let The Sun Go Down On Me,1974,2057.json,Elton John,en
79,Mike Oldfield,Tubular Bells,1974,2058.json,Mike Oldfield,en
80,Anne Murray,A Love Song,1974,2059.json,Anne Murray,en
81,Donny and Marie Osmond,I'm Leaving It All Up To You,1974,2060.json,Donny,en
82,Todd Rundgren,"Hello, It's Me",1974,2061.json,Todd Rundgren,en
83,Tom T. Hall,I Love,1974,2062.json,Tom T. Hall,en
84,Guess Who,Clap For The Wolfman,1974,2063.json,Guess Who,en
85,Jim Croce,I'll Have To Say I Love You In A Song,1974,2064.json,Jim Croce,en
86,Sister Janet Mead,The Lord's Prayer,1974,2065.json,Sister Janet Mead,en
87,Lamont Dozier,Trying To Hold On To My Woman,1974,2066.json,Lamont Dozier,en
88,Stevie Wonder,Don't You Worry 'Bout A Thing,1974,2067.json,Stevie Wonder,en
89,Charlie Rich,A Very Special Love Song,1974,2068.json,Charlie Rich,en
90,Jim Stafford,My Girl Bill,1974,2069.json,Jim Stafford,en
91,Diana Ross and Marvin Gaye,My Mistake Was To Love You,1974,2070.json,Diana Ross,en
92,Paul McCartney and Wings,Helen Wheels,1974,2071.json,Paul McCartney,en
93,Jim Stafford,Wildwood Weed,1974,2072.json,Jim Stafford,en
94,First Class,Beach Baby,1974,2073.json,First Class,en
95,War,Me And Baby Brother,1974,2074.json,War,en
96,Stylistics,Rockin' Roll Baby,1974,2075.json,Stylistics,en
97,Olivia Newton-John,I Honestly Love You,1974,2076.json,Olivia Newton-John,en
98,Chicago,Call On Me,1974,2077.json,Chicago,en
99,Fancy,Wild Thing,1974,2078.json,Fancy,en
100,Spinners,"Mighty Love, Pt. 1",1974,2079.json,Spinners,en
1,Captain and Tennille,Love Will Keep Us Together,1975,2080.json,Captain,en
2,Glen Campbell,Rhinestone Cowboy,1975,2081.json,Glen Campbell,en
3,Elton John,Philadelphia Freedom,1975,2082.json,Elton John,en
4,Freddy Fender,Before The Next Teardrop Falls,1975,2083.json,Freddy Fender,en
5,Frankie Valli,My Eyes Adored You,1975,2084.json,Frankie Valli,en
6,"Earth, Wind and Fire",Shining Star,1975,2085.json,"Earth, Wind",en
7,David Bowie,Fame,1975,2086.json,David Bowie,en
8,Neil Sedaka,Laughter In The Rain,1975,2087.json,Neil Sedaka,en
9,Eagles,One Of These Nights,1975,2088.json,Eagles,en
10,John Denver,Thank God I'm A Country Boy,1975,2089.json,John Denver,en
11,Bee Gees,Jive Talkin',1975,2090.json,Bee Gees,en
12,Eagles,Best Of My Love,1975,2091.json,Eagles,en
13,Minnie Riperton,Lovin' You,1975,2092.json,Minnie Riperton,en
14,Carl Douglas,Kung Fu Fighting,1975,2093.json,Carl Douglas,en
15,Doobie Brothers,Black Water,1975,2094.json,Doobie Brothers,en
17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,1975,2096.json,B.J. Thomas,en
18,Tony Orlando and Dawn,He Don't Love You (Like I Love You),1975,2097.json,Tony Orl,en
19,Janis Ian,At Seventeen,1975,2098.json,Janis Ian,en
20,Average White Band,Pick Up The Pieces,1975,2099.json,Average White B,en
21,Van McCoy and The Soul City Symphony,The Hustle,1975,2100.json,Van McCoy,en
22,Labelle,Lady Marmalade,1975,2101.json,Labelle,en
23,War,Why Can't We Be Friends?,1975,2102.json,War,en
24,Major Harris,Love Won't Let Me Wait,1975,2103.json,Major Harris,en
25,Stevie Wonder,Boogie On Reggae Woman,1975,2104.json,Stevie Wonder,en
26,Freddy Fender,Wasted Days And Wasted Nights,1975,2105.json,Freddy Fender,en
27,Isley Brothers,"Fight The Power, Pt. 1",1975,2106.json,Isley Brothers,en
28,Helen Reddy,Angie Baby,1975,2107.json,Helen Reddy,en
29,Ozark Mountain Daredevil,Jackie Blue,1975,2108.json,Ozark Mountain Daredevil,en
30,Ohio Players,Fire,1975,2109.json,Ohio Players,en
31,Pilot,Magic,1975,2110.json,Pilot,en
32,Carpenters,Please Mr. Postman,1975,2111.json,Carpenters,en
33,America,Sister Golden Hair,1975,2112.json,America,en
34,Elton John,Lucy In The Sky With Diamonds,1975,2113.json,Elton John,en
35,Barry Manilow,Mandy,1975,2114.json,Barry Manilow,en
36,Olivia Newton-John,Have You Never Been Mellow,1975,2115.json,Olivia Newton-John,en
37,Barry Manilow,Could It Be Magic,1975,2116.json,Barry Manilow,en
38,Harry Chapin,Cat's In The Cradle,1975,2117.json,Harry Chapin,en
39,Michael Murphy,Wildfire,1975,2118.json,Michael Murphy,en
40,Jessi Colter,I'm Not Lisa,1975,2119.json,Jessi Colter,en
41,Wings,Listen To What The Man Said,1975,2120.json,Wings,en
42,10cc,I'm Not In Love,1975,2121.json,10cc,en
43,Billy Swan,I Can Help,1975,2122.json,Billy Swan,en
44,"Hamilton, Joe Frank and Reynolds",Fallin' In Love,1975,2123.json,"Hamilton, Joe Frank",en
45,Morris Albert,Feelings,1975,2124.json,Morris Albert,en
46,Sammy Johns,Chevy Van,1975,2125.json,Sammy Johns,en
47,Linda Ronstadt,When Will I Be Loved,1975,2126.json,Linda Ronstadt,en
48,Barry White,"You're The First, The Last, My Everything",1975,2127.json,Barry White,en
49,Olivia Newton-John,Please Mr Please,1975,2128.json,Olivia Newton-John,en
50,Linda Ronstadt,You're No Good,1975,2129.json,Linda Ronstadt,en
52,Blackbyrds,Walking In Rhythm,1975,2131.json,Blackbyrds,en
53,Gladys Knight and The Pips,The Way We Were / Try To Remember,1975,2132.json,Gladys Knight,en
54,Melissa Manchester,Midnight Blue,1975,2133.json,Melissa Manchester,en
55,Sugarloaf,"Don't Call Us, We'll Call You",1975,2134.json,Sugarloaf,en
56,Phoebe Snow,Poetry Man,1975,2135.json,Phoebe Snow,en
57,Ace,How Long,1975,2136.json,Ace,en
58,B.T. Express,Express,1975,2137.json,B.T. Express,en
59,"Earth, Wind and Fire",That's The Way Of The World,1975,2138.json,"Earth, Wind",en
60,Styx,Lady,1975,2139.json,Styx,en
61,Grand Funk,Bad Time,1975,2140.json,Gr,en
62,Alice Cooper,Only Women Bleed,1975,2141.json,Alice Cooper,en
63,Carol Douglas,Doctor's Orders,1975,2142.json,Carol Douglas,en
64,K.C. and The Sunshine Band,Get Down Tonight,1975,2143.json,K.C.,en
66,Paul Anka and Odia Coates,One Man Woman-One Woman Man,1975,2145.json,Paul Anka,en
67,Bad Company,Feel Like Makin' Love,1975,2146.json,Bad Company,en
68,James Taylor,How Sweet It Is (To Be Loved by You),1975,2147.json,James Taylor,en
69,Orleans,Dance With Me,1975,2148.json,Orleans,en
70,Average White Band,Cut The Cake,1975,2149.json,Average White B,en
71,Gloria Gaynor,Never Can Say Goodbye,1975,2150.json,Gloria Gaynor,en
72,Paul Anka,I Don't Like To Sleep Alone,1975,2151.json,Paul Anka,en
73,Donny and Marie Osmond,Morning Side Of The Mountain,1975,2152.json,Donny,en
74,Grand Funk,Some Kind Of Wonderful,1975,2153.json,Gr,en
75,Three Degrees,When Will I See You Again,1975,2154.json,Three Degrees,en
76,Joe Simon,"Get Down, Get Down (Get On The Floor)",1975,2155.json,Joe Simon,en
78,Queen,Killer Queen,1975,2157.json,Queen,en
79,Eddie Kendricks,Shoeshine Boy,1975,2158.json,Eddie Kendricks,en
80,B.T. Express,Do It (Til You're Satisfied),1975,2159.json,B.T. Express,en
81,Electric Light Orchestra,Can't Get It Out Of My Head,1975,2160.json,Electric Light Orchestra,en
82,Al Green,Sha-La-La (Make Me Happy),1975,2161.json,Al Green,en
83,America,Lonely People,1975,2162.json,America,en
84,Rufus,You Got The Love,1975,2163.json,Rufus,en
86,Tavares,It Only Takes A Minute,1975,2165.json,Tavares,en
87,Ringo Starr,No No Song / Snookeroo,1975,2166.json,Ringo Starr,en
89,Jethro Tull,Bungle In The Jungle,1975,2168.json,Jethro Tull,en
90,Leo Sayer,Long Tall Glasses (I Can Dance),1975,2169.json,Leo Sayer,en
91,Elton John,Someone Saved My Life Tonight,1975,2170.json,Elton John,en
92,Ray Stevens,Misty,1975,2171.json,Ray Stevens,en
93,Neil Sedaka,Bad Blood,1975,2172.json,Neil Sedaka,en
94,Carpenters,Only Yesterday,1975,2173.json,Carpenters,en
95,Dwight Twilley Band,I'm On Fire,1975,2174.json,Dwight Twilley B,en
96,Ringo Starr,Only You,1975,2175.json,Ringo Starr,en
97,Amazing Rhythm Aces,Third Rate Romance,1975,2176.json,Amazing Rhythm Aces,en
99,Frankie Valli,Swearin' To God,1975,2178.json,Frankie Valli,en
1,Wings,Silly Love Songs,1976,2180.json,Wings,en
2,Elton John and Kiki Dee,Don't Go Breaking My Heart,1976,2181.json,Elton John,en
3,Johnnie Taylor,Disco Lady,1976,2182.json,Johnnie Taylor,en
4,Four Seasons,"December, 1963 (Oh, What A Night)",1976,2183.json,Four Seasons,en
5,Wild Cherry,Play That Funky Music,1976,2184.json,Wild Cherry,en
6,Manhattans,Kiss And Say Goodbye,1976,2185.json,Manhattans,en
7,Miracles,Love Machine (Part 1),1976,2186.json,Miracles,en
8,Paul Simon,50 Ways To Leave Your Lover,1976,2187.json,Paul Simon,en
9,Gary Wright,Love Is Alive,1976,2188.json,Gary Wright,en
11,Daryl Hall and John Oates,Sara Smile,1976,2190.json,Daryl Hall,en
12,Starland Vocal Band,Afternoon Delight,1976,2191.json,Starl,en
13,Barry Manilow,I Write The Songs,1976,2192.json,Barry Manilow,en
14,Silver Convention,"Fly, Robin, Fly",1976,2193.json,Silver Convention,en
15,Diana Ross,Love Hangover,1976,2194.json,Diana Ross,en
16,Seals and Crofts,Get Closer,1976,2195.json,Seals,en
17,Andrea True Connection,"More, More, More",1976,2196.json,Andrea True Connection,en
18,Queen,Bohemian Rhapsody,1976,2197.json,Queen,en
19,Dorothy Moore,Misty Blue,1976,2198.json,Dorothy Moore,en
20,Sylvers,Boogie Fever,1976,2199.json,Sylvers,en
21,England Dan and John Ford Coley,I'd Really Love To See You Tonight,1976,2200.json,Engl,en
22,Hot Chocolate,You Sexy Thing,1976,2201.json,Hot Chocolate,en
23,Nazareth,Love Hurts,1976,2202.json,Nazareth,en
25,Eagles,Take It To The Limit,1976,2204.json,Eagles,en
26,K.C. and The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty",1976,2205.json,K.C.,en
27,Commodores,Sweet Love,1976,2206.json,Commodores,en
28,Maxine Nightingale,Right Back Where We Started From,1976,2207.json,Maxine Nightingale,en
30,Ohio Players,Love Rollercoaster,1976,2209.json,Ohio Players,en
31,Bee Gees,You Should Be Dancing,1976,2210.json,Bee Gees,en
32,Lou Rawls,You'll Never Find Another Love Like Mine,1976,2211.json,Lou Rawls,en
33,David Bowie,Golden Years,1976,2212.json,David Bowie,en
34,Starbuck,Moonlight Feels Right,1976,2213.json,Starbuck,en
35,Dr. Hook,Only Sixteen,1976,2214.json,Dr. Hook,en
36,Bellamy Brothers,Let Your Love Flow,1976,2215.json,Bellamy Brothers,en
37,Gary Wright,Dream Weaver,1976,2216.json,Gary Wright,en
38,Vicki Sue Robinson,Turn The Beat Around,1976,2217.json,Vicki Sue Robinson,en
39,Captain and Tennille,Lonely Night (Angel Face),1976,2218.json,Captain,en
40,Eric Carmen,All By Myself,1976,2219.json,Eric Carmen,en
41,Donna Summer,Love To Love You Baby,1976,2220.json,Donna Summer,en
42,Donny and Marie Osmond,Deep Purple,1976,2221.json,Donny,en
43,Diana Ross,"Theme From ""Mahogany""",1976,2222.json,Diana Ross,en
44,Rufus,Sweet Thing,1976,2223.json,Rufus,en
45,K.C. and The Sunshine Band,That's The Way I Like It,1976,2224.json,K.C.,en
46,Dr. Hook,A Little Bit More,1976,2225.json,Dr. Hook,en
47,Henry Gross,Shannon,1976,2226.json,Henry Gross,en
48,Chicago,If You Leave Me Now,1976,2227.json,Chicago,en
49,Boz Scaggs,Lowdown,1976,2228.json,Boz Scaggs,en
50,Peter Frampton,Show Me The Way,1976,2229.json,Peter Frampton,en
51,Aerosmith,Dream On,1976,2230.json,Aerosmith,en
52,O'Jays,I Love Music (Pt. 1),1976,2231.json,O'Jays,en
53,Fleetwood Mac,Say You Love Me,1976,2232.json,Fleetwood Mac,en
54,Paul Anka,Times Of Your Life,1976,2233.json,Paul Anka,en
55,Cliff Richard,Devil Woman,1976,2234.json,Cliff Richard,en
56,Elvin Bishop,Fooled Around And Fell In Love,1976,2235.json,Elvin Bishop,en
57,C.W. McCall,Convoy,1976,2236.json,C.W. McCall,en
58,John Sebastian,Welcome Back,1976,2237.json,John Sebastian,en
59,"Earth, Wind and Fire",Sing A Song,1976,2238.json,"Earth, Wind",en
60,Tavares,Heaven Must Be Missing An Angel,1976,2239.json,Tavares,en
61,Brothers Johnson,I'll Be Good To You,1976,2240.json,Brothers Johnson,en
62,Captain and Tennille,Shop Around,1976,2241.json,Captain,en
63,Bay City Rollers,Saturday Night,1976,2242.json,Bay City Rollers,en
64,Elton John,Island Girl,1976,2243.json,Elton John,en
65,Staple Singers,Let's Do It Again,1976,2244.json,Staple Singers,en
66,Wings,Let 'Em In,1976,2245.json,Wings,en
67,Wing and A Prayer Fife and Drum Corps,Baby Face,1976,2246.json,Wing,en
68,George Benson,This Masquerade,1976,2247.json,George Benson,en
69,Electric Light Orchestra,Evil Woman,1976,2248.json,Electric Light Orchestra,en
70,Silver,Wham Bam,1976,2249.json,Silver,en
71,Keith Carradine,I'm Easy,1976,2250.json,Keith Carradine,en
72,Harold Melvin and The Bluenotes,Wake Up Everybody (Pt. 1),1976,2251.json,Harold Melvin,en
74,John Travolta,Let Her In,1976,2253.json,John Travolta,en
75,Sweet,Fox On The Run,1976,2254.json,Sweet,en
76,Fleetwood Mac,Rhiannon (Will You Ever Win),1976,2255.json,Fleetwood Mac,en
77,Beatles,Got To Get You Into My Life,1976,2256.json,Beatles,en
78,Bee Gees,Fanny (Be Tender With My Love),1976,2257.json,Bee Gees,en
79,"Earth, Wind and Fire",Getaway,1976,2258.json,"Earth, Wind",en
80,Daryl Hall and John Oates,She's Gone,1976,2259.json,Daryl Hall,en
81,Beach Boys,Rock And Roll Music,1976,2260.json,Beach Boys,en
82,Orleans,Still The One,1976,2261.json,Orleans,en
83,Queen,You're My Best Friend,1976,2262.json,Queen,en
84,Jefferson Starship,With Your Love,1976,2263.json,Jefferson Starship,en
85,Foghat,Slow Ride,1976,2264.json,Foghat,en
86,Ohio Players,Who'd She Coo,1976,2265.json,Ohio Players,en
87,David Ruffin,Walk Away From Love,1976,2266.json,David Ruffin,en
88,Peter Frampton,"Baby, I Love Your Way",1976,2267.json,Peter Frampton,en
89,Candi Staton,Young Hearts Run Free,1976,2268.json,C,en
91,Bay City Rollers,Money Honey,1976,2270.json,Bay City Rollers,en
92,Parliament,Tear The Roof Off The Sucker,1976,2271.json,Parliament,en
93,Larry Groce,Junk Food Junkie,1976,2272.json,Larry Groce,en
94,Barry Manilow,Tryin' To Get The Feeling Again,1976,2273.json,Barry Manilow,en
95,Kiss,Rock And Roll All Nite,1976,2274.json,Kiss,en
96,Rick Dees,Disco Duck,1976,2275.json,Rick Dees,en
97,Thin Lizzy,The Boys Are Back In Town,1976,2276.json,Thin Lizzy,en
98,Steve Miller Band,Take The Money And Run,1976,2277.json,Steve Miller B,en
99,Who,Squeeze Box,1976,2278.json,Who,en
100,Glen Campbell,Country Boy (You Got Your Feet In L.A.),1976,2279.json,Glen Campbell,en
1,Rod Stewart,Tonight's The Night (Gonna Be Alright),1977,2280.json,Rod Stewart,en
2,Andy Gibb,I Just Want To Be Your Everything,1977,2281.json,Andy Gibb,en
3,Emotions,Best Of My Love,1977,2282.json,Emotions,en
4,Barbra Streisand,"Love Theme From ""A Star Is Born""",1977,2283.json,Barbra Streis,en
5,Hot,Angel In Your Arms,1977,2284.json,Hot,en
6,Kenny Nolan,I Like Dreamin',1977,2285.json,Kenny Nolan,en
7,Thelma Houston,Don't Leave Me This Way,1977,2286.json,Thelma Houston,en
8,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977,2287.json,Rita Coolidge,en
9,Alan O'Day,Undercover Angel,1977,2288.json,Alan O'Day,en
10,Mary MacGregor,Torn Between Two Lovers,1977,2289.json,Mary MacGregor,en
11,K.C. and The Sunshine Band,I'm Your Boogie Man,1977,2290.json,K.C.,en
12,ABBA,Dancing Queen,1977,2291.json,ABBA,en
13,Leo Sayer,You Make Me Feel Like Dancing,1977,2292.json,Leo Sayer,en
14,Jimmy Buffett,Margaritaville,1977,2293.json,Jimmy Buffett,en
15,Electric Light Orchestra,Telephone Line,1977,2294.json,Electric Light Orchestra,en
16,Pablo Cruise,Whatcha Gonna Do?,1977,2295.json,Pablo Cruise,en
17,Peter McCann,Do You Wanna Make Love?,1977,2296.json,Peter McCann,en
18,Stevie Wonder,Sir Duke,1977,2297.json,Stevie Wonder,en
19,Eagles,Hotel California,1977,2298.json,Eagles,en
20,Marvin Gaye,"Got To Give It Up, Pt. 1",1977,2299.json,Marvin Gaye,en
21,Bill Conti,"Theme From ""Rocky"" (Gonna Fly Now)",1977,2300.json,Bill Conti,en
22,Glen Campbell,Southern Nights,1977,2301.json,Glen Campbell,en
23,Daryl Hall and John Oates,Rich Girl,1977,2302.json,Daryl Hall,en
24,Leo Sayer,When I Need You,1977,2303.json,Leo Sayer,en
25,Sylvers,Hot Line,1977,2304.json,Sylvers,en
26,Rose Royce,Car Wash,1977,2305.json,Rose Royce,en
27,Marilyn McCoo and Billy Davis Jr.,You Don't Have To Be A Star,1977,2306.json,Marilyn McCoo,en
28,Steve Miller Band,Fly Like An Eagle,1977,2307.json,Steve Miller B,en
29,David Soul,Don't Give Up On Us,1977,2308.json,David Soul,en
30,Stephen Bishop,On And On,1977,2309.json,Stephen Bishop,en
31,Foreigner,Feels Like The First Time,1977,2310.json,Foreigner,en
32,Climax Blues Band,Couldn't Get It Right,1977,2311.json,Climax Blues B,en
33,Commodores,Easy,1977,2312.json,Commodores,en
34,Jennifer Warnes,Right Time Of The Night,1977,2313.json,Jennifer Warnes,en
35,Natalie Cole,I've Got Love On My Mind,1977,2314.json,Natalie Cole,en
36,Manfred Mann's. Earth Band,Blinded By The Light,1977,2315.json,Manfred Mann's. Earth B,en
37,Barry Manilow,Looks Like We Made It,1977,2316.json,Barry Manilow,en
38,Atlanta Rhythm Section,So In To You,1977,2317.json,Atlanta Rhythm Section,en
39,Fleetwood Mac,Dreams,1977,2318.json,Fleetwood Mac,en
40,Jacksons,Enjoy Yourself,1977,2319.json,Jacksons,en
41,Brick,Dazz,1977,2320.json,Brick,en
42,Peter Frampton,I'm In You,1977,2321.json,Peter Frampton,en
