Position,Artist,Song Title,Split Names,Spotify ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,Jordan Davis Featuring Luke Bryan,Buy Dirt,Jordan Davis,69AIpwGNLxr4qS1X5ynx60,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,audio_features,69AIpwGNLxr4qS1X5ynx60,spotify:track:69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,167480,4
50,Lizzo,About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4
51,"Kay Flock, Cardi B, Dougie B & Bory300",Shake It,"Kay Flock, Cardi B, Dougie B",0RkCnqwF8Tfl2QGPZwopyk,0.87,0.835,1,-5.875,1,0.311,0.0353,0.0,0.142,0.901,140.051,audio_features,0RkCnqwF8Tfl2QGPZwopyk,spotify:track:0RkCnqwF8Tfl2QGPZwopyk,https://api.spotify.com/v1/tracks/0RkCnqwF8Tfl2QGPZwopyk,https://api.spotify.com/v1/audio-analysis/0RkCnqwF8Tfl2QGPZwopyk,118249,4
52,Charlie Puth,Light Switch,Charlie Puth,1BSMpVGWs3v5BZKnAQziAc,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,audio_features,1BSMpVGWs3v5BZKnAQziAc,spotify:track:1BSMpVGWs3v5BZKnAQziAc,https://api.spotify.com/v1/tracks/1BSMpVGWs3v5BZKnAQziAc,https://api.spotify.com/v1/audio-analysis/1BSMpVGWs3v5BZKnAQziAc,185681,4
53,Miranda Lambert,If I Was A Cowboy,Mir,6F7UOC6fPWOkPqybOWBHSv,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,audio_features,6F7UOC6fPWOkPqybOWBHSv,spotify:track:6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/tracks/6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/audio-analysis/6F7UOC6fPWOkPqybOWBHSv,195013,4
54,Fireboy DML & Ed Sheeran,Peru,Fireboy DML,3s1KwrLP0NlFWiWbjz6bfQ,0.956,0.417,7,-7.892,0,0.0926,0.572,0.00071,0.0782,0.714,108.015,audio_features,3s1KwrLP0NlFWiWbjz6bfQ,spotify:track:3s1KwrLP0NlFWiWbjz6bfQ,https://api.spotify.com/v1/tracks/3s1KwrLP0NlFWiWbjz6bfQ,https://api.spotify.com/v1/audio-analysis/3s1KwrLP0NlFWiWbjz6bfQ,187111,4
55,Lauren Spencer-Smith,Flowers,Lauren Spencer-Smith,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,audio_features,6Z165JvPnS8PYvGW8oLGLc,spotify:track:6Z165JvPnS8PYvGW8oLGLc,https://api.spotify.com/v1/tracks/6Z165JvPnS8PYvGW8oLGLc,https://api.spotify.com/v1/audio-analysis/6Z165JvPnS8PYvGW8oLGLc,157373,4
56,Jack Harlow,Nail Tech,Jack Harlow,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,audio_features,62Yo3FDddWY8ydu6PW2wyz,spotify:track:62Yo3FDddWY8ydu6PW2wyz,https://api.spotify.com/v1/tracks/62Yo3FDddWY8ydu6PW2wyz,https://api.spotify.com/v1/audio-analysis/62Yo3FDddWY8ydu6PW2wyz,206385,4
57,Tyga X Doja Cat,Freaky Deaky,Tyga,3vySEUpD0tc801F2WZDLYw,0.799,0.653,2,-5.453,0,0.037,0.019,0.0,0.0935,0.236,104.019,audio_features,3vySEUpD0tc801F2WZDLYw,spotify:track:3vySEUpD0tc801F2WZDLYw,https://api.spotify.com/v1/tracks/3vySEUpD0tc801F2WZDLYw,https://api.spotify.com/v1/audio-analysis/3vySEUpD0tc801F2WZDLYw,215281,4
58,Sam Hunt,23,Sam Hunt,4PuAqZlL1tkidkuxfDlLbF,0.641,0.78,3,-5.138,1,0.0852,0.0206,0.0,0.143,0.693,98.004,audio_features,4PuAqZlL1tkidkuxfDlLbF,spotify:track:4PuAqZlL1tkidkuxfDlLbF,https://api.spotify.com/v1/tracks/4PuAqZlL1tkidkuxfDlLbF,https://api.spotify.com/v1/audio-analysis/4PuAqZlL1tkidkuxfDlLbF,179720,4
