Position,Artist,Song Title,Year,JSON file,Split Names,Song Language,Spotify ID,Spotify Artist,Spotify Song,Spotify Music Genre,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
65,T.I.,Bring Em Out,2005,5144.json,T.I.,en,3CcvahnsiArpTHYQEWV2Au,T.I.,Bring Em Out,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.759,216707.0,0.891,3CcvahnsiArpTHYQEWV2Au,0.0,11.0,0.141,-2.983,1.0,0.257,98.579,4.0,https://api.spotify.com/v1/tracks/3CcvahnsiArpTHYQEWV2Au,audio_features,spotify:track:3CcvahnsiArpTHYQEWV2Au,0.587
66,Destiny's Child,Cater 2 U,2005,5145.json,Destiny's Child,en,6uYAPqxP69zfpCbsTHXgiz,Destiny's Child,Cater 2 U,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",0.605,245400.0,0.584,6uYAPqxP69zfpCbsTHXgiz,0.0,11.0,0.235,-7.043,0.0,0.197,125.802,4.0,https://api.spotify.com/v1/tracks/6uYAPqxP69zfpCbsTHXgiz,audio_features,spotify:track:6uYAPqxP69zfpCbsTHXgiz,0.464
67,Amerie,1 Thing,2005,5146.json,Amerie,en,1mnqraQ8oV8MX92rdOFLWW,Amerie,1 Thing,"['contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.612,238760.0,0.961,1mnqraQ8oV8MX92rdOFLWW,4.17e-05,10.0,0.0413,-3.078,0.0,0.333,129.873,5.0,https://api.spotify.com/v1/tracks/1mnqraQ8oV8MX92rdOFLWW,audio_features,spotify:track:1mnqraQ8oV8MX92rdOFLWW,0.867
68,Foo Fighters,Best Of You,2005,5147.json,Foo Fighters,en,5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,Best of You,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.366,255627.0,0.94,5FZxsHWIvUsmSK1IAvm2pp,9.42e-05,1.0,0.188,-5.119,0.0,0.0696,130.198,4.0,https://api.spotify.com/v1/tracks/5FZxsHWIvUsmSK1IAvm2pp,audio_features,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,0.369
69,Mariah Carey,It's Like That,2005,5148.json,Mariah Carey,en,7zL9xrz5krsuC6qVNluQQw,Mariah Carey,It's Like That,"['dance pop', 'pop', 'urban contemporary']",0.8,203360.0,0.633,7zL9xrz5krsuC6qVNluQQw,0.0,8.0,0.0315,-4.875,0.0,0.0514,95.953,4.0,https://api.spotify.com/v1/tracks/7zL9xrz5krsuC6qVNluQQw,audio_features,spotify:track:7zL9xrz5krsuC6qVNluQQw,0.836
70,Natalie,Goin' Crazy,2005,5149.json,Natalie,en,48JAAdtKgOQ4u4QRER6bJX,Natalie,Goin' Crazy,[],0.6,294093.0,0.556,48JAAdtKgOQ4u4QRER6bJX,0.00735,1.0,0.0837,-7.294,1.0,0.026,105.957,4.0,https://api.spotify.com/v1/tracks/48JAAdtKgOQ4u4QRER6bJX,audio_features,spotify:track:48JAAdtKgOQ4u4QRER6bJX,0.233
71,Carrie Underwood,Inside Your Heaven,2005,5150.json,Carrie Underwood,en,3w8xlZi49MQuQkyyB5bi5e,Carrie Underwood,Inside Your Heaven (Bonus Track),"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']",0.377,225280.0,0.565,3w8xlZi49MQuQkyyB5bi5e,1.65e-06,7.0,0.204,-4.74,1.0,0.0312,134.542,4.0,https://api.spotify.com/v1/tracks/3w8xlZi49MQuQkyyB5bi5e,audio_features,spotify:track:3w8xlZi49MQuQkyyB5bi5e,0.14
72,Kelly Clarkson,Because Of You,2005,5151.json,Kelly Clarkson,en,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Because of You,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",0.583,219493.0,0.584,3f3omU8n47Mqyab5nCaGyT,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,4.0,https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT,audio_features,spotify:track:3f3omU8n47Mqyab5nCaGyT,0.136
72,Kelly Clarkson,Because Of You,2005,5151.json,Kelly Clarkson,en,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Because of You,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",0.583,219493.0,0.584,3f3omU8n47Mqyab5nCaGyT,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,4.0,https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT,audio_features,spotify:track:3f3omU8n47Mqyab5nCaGyT,0.136
39,Kelly Clarkson,Because Of You,2006,5218.json,Kelly Clarkson,en,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Because of You,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",0.583,219493.0,0.584,3f3omU8n47Mqyab5nCaGyT,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,4.0,https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT,audio_features,spotify:track:3f3omU8n47Mqyab5nCaGyT,0.136
39,Kelly Clarkson,Because Of You,2006,5218.json,Kelly Clarkson,en,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Because of You,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",0.583,219493.0,0.584,3f3omU8n47Mqyab5nCaGyT,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,4.0,https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT,audio_features,spotify:track:3f3omU8n47Mqyab5nCaGyT,0.136
73,Fantasia,Truth Is,2005,5152.json,Fantasia,en,3QfsB9tPwAjMb5b9P7r3Z5,Fantasia,Truth Is,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']",0.707,236747.0,0.451,3QfsB9tPwAjMb5b9P7r3Z5,0.0,11.0,0.0524,-10.38,1.0,0.0761,73.209,4.0,https://api.spotify.com/v1/tracks/3QfsB9tPwAjMb5b9P7r3Z5,audio_features,spotify:track:3QfsB9tPwAjMb5b9P7r3Z5,0.616
74,Pretty Ricky,Your Body,2005,5153.json,Pretty Ricky,en,5y4TDQdYzlT4eoQIPOgNDz,Pretty Ricky,Your Body,"['contemporary r&b', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",0.838,240040.0,0.594,5y4TDQdYzlT4eoQIPOgNDz,0.0,4.0,0.0867,-5.695,0.0,0.113,90.038,4.0,https://api.spotify.com/v1/tracks/5y4TDQdYzlT4eoQIPOgNDz,audio_features,spotify:track:5y4TDQdYzlT4eoQIPOgNDz,0.507
